id,type
3,Ghoul
6,Ghoul
9,Ghoul
10,Ghoul
13,Goblin
14,Ghost
15,Ghoul
16,Ghoul
17,Ghoul
18,Ghoul
20,Ghoul
21,Ghoul
24,Ghoul
26,Ghoul
33,Ghoul
38,Goblin
40,Ghoul
41,Ghost
42,Ghoul
43,Ghoul
44,Ghoul
46,Goblin
48,Ghoul
49,Goblin
50,Ghoul
51,Ghoul
52,Ghoul
53,Goblin
55,Ghoul
57,Ghoul
59,Ghoul
60,Ghoul
61,Ghoul
63,Ghoul
64,Ghoul
65,Ghoul
66,Goblin
67,Ghoul
68,Ghoul
74,Ghoul
76,Goblin
77,Ghoul
78,Ghoul
81,Ghoul
83,Goblin
87,Ghoul
92,Ghoul
97,Ghoul
98,Ghoul
99,Goblin
100,Ghoul
101,Ghoul
102,Ghost
104,Ghoul
105,Ghoul
106,Ghoul
108,Goblin
110,Ghoul
112,Ghoul
114,Ghoul
116,Ghoul
117,Ghoul
120,Goblin
121,Ghoul
122,Ghoul
123,Ghoul
124,Ghoul
126,Ghoul
127,Ghoul
132,Ghoul
134,Ghoul
135,Ghoul
136,Ghoul
137,Ghoul
138,Ghoul
139,Ghoul
140,Ghoul
144,Ghoul
145,Goblin
146,Goblin
147,Ghost
148,Ghoul
149,Ghoul
150,Ghoul
151,Goblin
152,Goblin
153,Ghost
154,Ghoul
156,Goblin
158,Goblin
160,Ghost
164,Ghoul
166,Ghoul
167,Ghost
169,Ghoul
171,Ghoul
173,Goblin
178,Goblin
179,Ghoul
181,Goblin
182,Ghoul
183,Ghoul
184,Ghoul
187,Ghoul
188,Ghoul
190,Ghoul
191,Ghoul
196,Goblin
198,Ghoul
200,Ghoul
201,Ghoul
202,Ghoul
203,Ghoul
207,Ghoul
209,Ghoul
210,Goblin
211,Goblin
212,Ghoul
213,Ghoul
214,Ghoul
217,Ghoul
220,Ghoul
221,Ghost
223,Ghoul
225,Ghoul
228,Ghoul
231,Ghost
232,Ghoul
234,Ghoul
235,Ghoul
236,Ghoul
238,Ghoul
239,Ghoul
240,Ghoul
241,Goblin
242,Ghoul
243,Ghoul
244,Ghoul
245,Ghoul
246,Ghoul
248,Ghoul
249,Goblin
250,Goblin
251,Ghoul
252,Ghoul
253,Ghoul
254,Ghoul
255,Goblin
256,Ghost
257,Ghoul
259,Ghoul
260,Ghoul
267,Ghoul
269,Ghoul
270,Goblin
271,Ghoul
273,Ghoul
274,Ghoul
275,Goblin
276,Ghoul
277,Ghoul
278,Ghoul
279,Ghoul
280,Ghoul
281,Ghost
284,Ghost
288,Ghoul
289,Ghost
290,Ghoul
292,Ghoul
295,Goblin
297,Ghoul
298,Ghost
303,Goblin
304,Ghoul
308,Ghoul
309,Ghoul
310,Ghoul
311,Ghoul
312,Ghoul
314,Ghoul
316,Ghoul
317,Ghoul
318,Ghoul
319,Ghoul
320,Ghoul
322,Ghoul
326,Ghoul
328,Ghoul
330,Ghost
331,Ghost
332,Ghoul
334,Ghoul
335,Ghost
337,Ghoul
341,Ghoul
344,Ghoul
345,Ghoul
347,Ghoul
348,Ghoul
349,Ghoul
350,Ghost
352,Ghost
353,Ghoul
354,Ghoul
356,Ghoul
357,Goblin
360,Ghoul
361,Ghoul
363,Ghoul
364,Ghoul
365,Ghoul
370,Goblin
371,Ghost
372,Ghoul
373,Ghoul
374,Ghoul
376,Ghost
377,Ghoul
378,Ghoul
379,Ghoul
380,Goblin
381,Ghoul
382,Ghoul
383,Ghoul
384,Ghoul
386,Goblin
388,Ghost
391,Ghoul
392,Ghost
395,Ghoul
396,Ghoul
398,Ghoul
400,Ghost
402,Ghoul
403,Ghoul
405,Goblin
406,Ghoul
407,Ghoul
408,Ghoul
411,Ghoul
413,Ghoul
414,Ghost
415,Ghost
417,Ghoul
418,Ghoul
420,Ghoul
423,Ghost
424,Ghoul
425,Ghoul
426,Ghoul
430,Ghoul
431,Ghost
432,Ghoul
433,Ghoul
436,Ghoul
437,Goblin
438,Ghoul
439,Ghoul
440,Goblin
441,Goblin
442,Ghoul
443,Goblin
444,Ghoul
445,Goblin
446,Ghoul
449,Ghoul
451,Ghoul
452,Goblin
453,Goblin
455,Ghoul
456,Ghoul
457,Ghoul
459,Goblin
460,Ghoul
461,Ghoul
463,Ghoul
468,Ghoul
469,Ghoul
471,Ghoul
473,Goblin
474,Ghoul
475,Ghoul
477,Ghoul
478,Ghoul
479,Ghoul
480,Ghoul
483,Ghoul
484,Goblin
485,Ghost
486,Ghoul
488,Goblin
489,Ghoul
490,Ghoul
491,Goblin
493,Ghoul
496,Ghoul
498,Ghoul
499,Ghost
500,Ghoul
503,Goblin
504,Ghoul
505,Goblin
508,Ghoul
512,Ghoul
513,Ghoul
516,Ghoul
517,Goblin
519,Goblin
521,Ghoul
522,Ghoul
524,Ghoul
525,Ghoul
526,Ghost
527,Ghoul
529,Ghoul
530,Goblin
531,Goblin
532,Ghoul
533,Ghoul
535,Ghoul
537,Ghoul
538,Ghoul
539,Ghoul
541,Goblin
543,Goblin
544,Ghost
546,Ghoul
548,Ghoul
550,Ghoul
551,Ghoul
554,Ghoul
555,Ghoul
560,Ghoul
562,Goblin
563,Ghoul
566,Ghoul
567,Ghoul
568,Ghoul
569,Ghoul
571,Ghoul
572,Ghoul
573,Ghoul
576,Ghoul
577,Ghost
578,Ghoul
587,Ghoul
588,Ghoul
591,Ghoul
592,Ghoul
595,Ghoul
596,Goblin
597,Ghoul
599,Ghoul
602,Ghoul
603,Ghoul
605,Ghoul
606,Goblin
611,Ghost
612,Ghoul
613,Ghoul
615,Ghoul
618,Ghoul
619,Goblin
620,Ghoul
622,Ghoul
623,Ghoul
624,Ghoul
626,Ghoul
628,Ghoul
629,Ghoul
633,Ghoul
634,Ghoul
635,Goblin
636,Ghoul
638,Ghoul
639,Ghoul
640,Goblin
642,Ghost
643,Ghoul
644,Ghoul
645,Ghost
646,Ghoul
648,Goblin
649,Ghoul
650,Ghoul
652,Goblin
655,Ghoul
656,Ghoul
657,Ghost
658,Ghoul
659,Ghoul
660,Ghost
665,Goblin
666,Ghoul
668,Ghoul
670,Ghoul
671,Ghoul
672,Ghoul
673,Ghoul
675,Ghoul
681,Ghoul
683,Ghoul
687,Ghoul
689,Ghost
691,Ghoul
692,Ghoul
694,Ghoul
697,Ghoul
702,Ghoul
703,Ghoul
704,Goblin
706,Ghoul
707,Goblin
710,Ghoul
711,Ghoul
712,Ghoul
713,Ghoul
717,Ghoul
718,Goblin
720,Ghoul
723,Ghoul
724,Ghoul
725,Ghoul
726,Ghoul
730,Ghoul
735,Ghoul
738,Ghoul
740,Ghoul
742,Ghost
744,Ghoul
748,Ghoul
749,Ghoul
752,Goblin
755,Goblin
757,Ghoul
758,Ghoul
759,Ghost
760,Goblin
762,Ghoul
763,Ghoul
764,Ghoul
765,Ghost
767,Ghost
768,Ghost
769,Ghoul
770,Ghost
771,Ghoul
773,Ghoul
774,Ghoul
776,Ghoul
778,Ghoul
780,Ghoul
781,Ghoul
782,Ghoul
783,Ghoul
784,Ghoul
787,Ghoul
788,Ghoul
789,Ghoul
790,Goblin
791,Ghoul
794,Ghoul
795,Ghoul
796,Ghoul
798,Ghoul
799,Ghost
800,Ghoul
803,Ghoul
805,Goblin
806,Ghoul
807,Ghoul
808,Ghoul
810,Ghoul
811,Ghost
815,Ghost
816,Ghoul
818,Ghost
821,Ghoul
822,Ghoul
823,Ghoul
824,Ghoul
825,Goblin
826,Ghoul
828,Ghoul
830,Goblin
832,Ghost
833,Ghoul
834,Ghoul
835,Ghoul
838,Ghoul
842,Ghoul
844,Ghoul
848,Ghost
850,Ghoul
852,Goblin
853,Ghoul
854,Ghoul
856,Ghoul
857,Goblin
859,Goblin
860,Ghoul
862,Goblin
863,Ghoul
865,Ghoul
866,Goblin
868,Ghoul
869,Goblin
870,Ghoul
871,Ghoul
872,Ghoul
875,Ghoul
876,Ghoul
879,Goblin
880,Ghoul
881,Ghoul
882,Ghoul
883,Ghoul
884,Ghoul
885,Ghoul
887,Ghoul
888,Ghoul
891,Ghoul
892,Ghoul
893,Ghoul
894,Ghoul
895,Ghoul
898,Goblin
899,Ghoul
